target,id,date,flag,user,text
0,2190584004,Tue Jun 16 03:08:48 PDT 2009,NO_QUERY,Vicki_Gee,i miss nikki nu nu already  shes always there when needed thank u xxx
0,1881451988,Fri May 22 04:42:15 PDT 2009,NO_QUERY,PatCashin,So I had a dream last night. I  remember a sign which clearly told me where to get a job.  I can't rememer what the sign said.  
0,2058252964,Sat Jun 06 14:34:17 PDT 2009,NO_QUERY,deelectable,@girlyghost ohh poor sickly you   (((hugs)) hope you feel a little better soon
0,2237307600,Fri Jun 19 05:34:22 PDT 2009,NO_QUERY,justinekepa,it is raining again 
0,2224301193,Thu Jun 18 09:20:06 PDT 2009,NO_QUERY,cmatt007,@MissKeriBaby wish I was in LA right now 
0,1692257495,Sun May 03 19:36:35 PDT 2009,NO_QUERY,Dogbook,Nala Olowalu still has a full tummy from bread basket #2  http://apps.facebook.com/dogbook/profile/view/6285546
1,1557782222,Sun Apr 19 05:58:52 PDT 2009,NO_QUERY,MyAppleStuff,"@macintom site doesn't seem to want to load up, they must be getting a lot of hits "
0,1984628467,Sun May 31 15:29:11 PDT 2009,NO_QUERY,AlexCarrier,time for some sleep- hav to actually do some work tmrw!! 
0,2240793149,Fri Jun 19 10:10:09 PDT 2009,NO_QUERY,simonhowes,@supercoolkp In Oxford that month.  
1,1834037031,Mon May 18 01:23:05 PDT 2009,NO_QUERY,Sofuce,"..time for a cup of tea and fruit bagels, i'm going to turn the day around! "
1,2001270247,Tue Jun 02 00:20:53 PDT 2009,NO_QUERY,mouaboy6,Just finished playing asshole. first time 2nd place. Second time 1st place. Heh. 
0,2000954033,Mon Jun 01 23:25:14 PDT 2009,NO_QUERY,anteaisaplus,Finally got me some greens. 2 bad the dog kept tryna get all up in my mix. I guess she wanted some greens 2. Now I'm snifflin and sneezin 
1,2183870038,Mon Jun 15 15:05:50 PDT 2009,NO_QUERY,jubrustolin,@babimattivy nhaaaiiiiiiiiiii! me rendi ao twitter!    fim de agosto to na Ã¡rea hein!?
0,1955986622,Thu May 28 20:58:41 PDT 2009,NO_QUERY,amygibbons,poor kitty didn't make it last night...lost 2 more and nursing another tonight. 
1,1993730510,Mon Jun 01 10:50:31 PDT 2009,NO_QUERY,tswaterman,@MrPope OK - that was cooler than than the search engine launch 
0,2052008741,Fri Jun 05 23:23:46 PDT 2009,NO_QUERY,jeessss,@AlexAllTimeLow so upset i couldnt go 
0,2222895221,Thu Jun 18 07:35:01 PDT 2009,NO_QUERY,THabsburg,@Dev92 and we shouldn't have constant rain 
1,1989872646,Mon Jun 01 03:06:19 PDT 2009,NO_QUERY,Joyfullyblessed,"Good Morning Folks!  Last week of school...woohoo! Joy, Joy, Joy...down in my heart!  Have a spectacular day! Love to all..extra to Ram!"
0,2006863698,Tue Jun 02 11:47:47 PDT 2009,NO_QUERY,ishkabibbles,"Even on my happiest of days, seeing others sad makes me sad "
0,2018144696,Wed Jun 03 09:30:27 PDT 2009,NO_QUERY,NayaGia,I should be celebrating but you're not here  @Xhumonne sorry I asn't able to call. Was on the fon with Koo.T @chuchu82 I miss you poo
0,2067309923,Sun Jun 07 12:07:11 PDT 2009,NO_QUERY,Gilgamesh247,@TroublePandaPR I used tu have a 360 at least 4 times but kept getting the RROD  so I shifted tu tha #ps3
0,2245875020,Fri Jun 19 16:45:58 PDT 2009,NO_QUERY,steveo_187,hmmm wonder if my plans will actually happen today? laying in bed 
1,1956568507,Thu May 28 22:09:56 PDT 2009,NO_QUERY,Tyrone17,@ddlovatofans101 oh k good luck with that  lol
